CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas
;;2;2025;134984.47
;;2;2025;15140.0
;;2;2025;6156.57
;;2;2025;509462.57
;;2;2025;-2092.01
;;2;2025;244799.02
;;2;2025;158038.0
;;2;2025;900414.99
;;2;2025;51492230.49
;;2;2025;25986915.92
;;2;2025;15316286.54
;;2;2025;155174.39
;;2;2025;10039808.57
;;2;2025;522194.96
;;2;2025;1325160.33
;;2;2025;59500.0
;;2;2025;119491.32
;;2;2025;564.0
;;2;2025;1133278.4
;;2;2025;173147.79
;;2;2025;93324.13
;;2;2025;21480.0
;;2;2025;67200.0
;;2;2025;5378.08
;;2;2025;4294.06
;;2;2025;45029.7
;;2;2025;875670.14
;;2;2025;2951.12
;;2;2025;4158.78
;;2;2025;305655.29
;;2;2025;-25155.86
;;2;2025;699413.27
;;2;2025;296589.96
;;2;2025;177371.73
;;2;2025;3333.33
;;2;2025;449569.79
;;2;2025;34677.96
;;2;2025;1107862.04
;;2;2025;38280590.88
;;2;2025;326439.3
;;2;2025;44265.46
;;2;2025;89416.77
;;2;2025;19737.72
;;2;2025;20148.93
;;2;2025;1233.61
;;2;2025;573.0
;;2;2025;586.0
;;2;2025;273361.5
;;2;2025;1186.0
;;2;2025;748698.21
;;2;2025;174054.0
;;2;2025;340228.7
;;2;2025;12961723.9
;;2;2025;100114.8
;;2;2025;2619498.0
;;2;2025;321628.33
;;2;2025;152923.11
;;2;2025;43184.5
;;2;2025;129216.88
;;2;2025;32771.37
;;2;2025;639463.52
;;2;2025;27350.0
;;2;2025;193696.4
;;2;2025;152696.28
;;2;2025;107636.36
;;2;2025;824210.0
;;2;2025;415268.82
;;2;2025;393170.28
;;2;2025;12400.0
;;2;2025;171296.98
;;2;2025;20071.49
;;2;2025;182970.31
;;2;2025;1003641.48
;;2;2025;31223.98
;;2;2025;64352.22
;;2;2025;390654.42
;;2;2025;1935194.62
;;2;2025;631894.99
;;2;2025;69854.88
;;2;2025;3598.27
;;2;2025;637020.47
;;2;2025;437349.51
;;2;2025;115363.47
;;2;2025;25000.91
;;2;2025;35910.0
;;2;2025;18163.85
;;2;2025;2369.43
;;2;2025;433270.23
;;2;2025;703332.5
;;2;2025;360468.58
;;2;2025;1215787.26
;;2;2025;157906.42
;;2;2025;1546092.92
;;2;2025;543237.91
;;2;2025;226072.86
;;2;2025;755194.21
;;2;2025;1296859.62
;;2;2025;1326662.83
;;2;2025;16403.05
;;2;2025;812.72
;;2;2025;3005.14
;;2;2025;866312.97
;;2;2025;1644375.43
;;2;2025;450520.56
;;2;2025;451776.6
;;2;2025;756938.19
;;2;2025;14000.0
;;2;2025;792.4
;;2;2025;70.0
;;2;2025;17959458.87
;;2;2025;354783369.94
;;2;2025;27061.91
;;2;2025;28462.29
;;2;2025;4684.86
;;2;2025;183914.35
;;2;2025;42705.43
;;2;2025;95404.29
;;2;2025;467020.53
;;2;2025;500232.32
;;2;2025;2923.78
;;2;2025;76940.0
;;2;2025;185552.0
;;2;2025;38961.75
;;2;2025;260.13
;;2;2025;63349.85
;;2;2025;3600.0
;;2;2025;10340.0
;;2;2025;643085.54
;;2;2025;87159.1
;;2;2025;684641.52
;;2;2025;9019.3
;;2;2025;1476017.21
;;2;2025;4310.0
;;2;2025;19165.0
;;2;2025;47062.2
;;2;2025;9245.13
;;2;2025;1497127.55
;;2;2025;62597.33
;;2;2025;698146.74
;;2;2025;1863899.36
;;2;2025;33110.05
;;2;2025;28438.54
;;2;2025;292665.26
;;2;2025;3621.0
;;2;2025;19500.0
;;2;2025;179112.32
;;2;2025;18411238.15
;;2;2025;4020182.58
;;2;2025;690.0
;;2;2025;179332.53
;;2;2025;8880.0
;;2;2025;195545.08
;;2;2025;83680.0
;;2;2025;128798.02
;;2;2025;17607.5
;;2;2025;2327734.25
;;2;2025;14613.26
;;2;2025;159021.64
;;2;2025;181772.0
;;2;2025;1321149.35
;;2;2025;35877.69
;;2;2025;73257.15
;;2;2025;269611.71
;;2;2025;764621.84
;;2;2025;210028.27
;;2;2025;915985.54
;;2;2025;588019.62
;;2;2025;7934.31
